iter	Passed	Remaining
444	1173	1463
445	1175	1460
446	1177	1457
447	1180	1454
448	1182	1451
449	1184	1448
450	1187	1445
451	1189	1442
452	1192	1439
453	1194	1436
454	1196	1433
455	1199	1430
456	1201	1427
457	1203	1424
458	1206	1422
459	1208	1419
460	1211	1416
461	1214	1413
462	1217	1412
463	1220	1409
464	1222	1406
465	1225	1404
466	1228	1401
467	1231	1399
468	1233	1396
469	1235	1393
470	1237	1390
471	1240	1387
472	1242	1384
473	1244	1381
474	1247	1378
475	1249	1375
476	1252	1373
477	1254	1370
478	1256	1366
479	1259	1364
480	1261	1361
481	1263	1358
482	1265	1354
483	1267	1351
484	1270	1348
485	1272	1345
486	1274	1342
487	1277	1339
488	1279	1337
489	1281	1334
490	1283	1330
491	1286	1327
492	1288	1325
493	1290	1322
494	1293	1319
495	1295	1316
496	1297	1313
497	1299	1310
498	1302	1307
499	1304	1304
500	1306	1301
501	1308	1298
502	1311	1295
503	1313	1292
504	1315	1289
505	1318	1287
506	1321	1284
507	1323	1281
508	1326	1279
509	1330	1278
510	1333	1276
511	1336	1273
512	1338	1271
513	1341	1268
514	1349	1270
515	1351	1267
516	1353	1264
517	1356	1261
518	1358	1258
519	1360	1256
520	1363	1253
521	1365	1250
522	1367	1247
523	1370	1244
524	1372	1241
525	1375	1239
526	1378	1236
527	1380	1234
528	1383	1231
529	1385	1228
530	1388	1226
531	1390	1223
532	1392	1220
533	1395	1217
534	1397	1214
535	1400	1212
536	1402	1209
537	1404	1206
538	1407	1203
539	1409	1200
540	1413	1199
541	1415	1196
542	1419	1194
543	1421	1191
544	1423	1188
545	1426	1185
546	1428	1183
547	1430	1180
548	1433	1177
549	1436	1175
550	1438	1172
551	1442	1170
552	1445	1168
553	1447	1165
554	1449	1162
555	1452	1159
556	1455	1157
557	1458	1155
558	1460	1152
559	1463	1149
560	1465	1146
561	1468	1144
562	1471	1141
563	1473	1138
564	1475	1136
565	1478	1133
566	1480	1130
567	1482	1127
568	1485	1125
569	1487	1122
570	1489	1119
571	1492	1116
572	1494	1113
573	1497	1111
574	1500	1108
575	1502	1106
576	1504	1103
577	1507	1100
578	1509	1097
579	1511	1094
580	1514	1091
581	1516	1089
582	1518	1086
583	1520	1083
584	1522	1080
585	1525	1077
586	1528	1075
587	1530	1072
588	1532	1069
589	1535	1066
590	1537	1063
591	1539	1061
592	1542	1058
593	1545	1056
594	1547	1053
595	1549	1050
596	1552	1047
597	1555	1045
598	1557	1042
599	1560	1040
600	1562	1037
601	1565	1034
602	1567	1032
603	1570	1029
604	1572	1026
605	1574	1023
606	1577	1021
607	1579	1018
608	1582	1015
609	1584	1013
610	1587	1010
611	1589	1007
612	1591	1004
613	1594	1002
614	1596	999
615	1598	996
616	1601	994
617	1603	991
618	1606	988
619	1608	986
620	1611	983
621	1613	980
622	1615	977
623	1618	974
624	1620	972
625	1622	969
626	1625	967
627	1627	964
628	1630	961
629	1632	958
630	1634	955
631	1637	953
632	1639	950
633	1641	947
634	1644	945
635	1646	942
636	1648	939
637	1651	936
638	1653	934
639	1655	931
640	1658	929
641	1661	926
642	1663	923
643	1666	921
644	1668	918
645	1671	915
646	1673	913
647	1675	910
648	1678	907
649	1680	904
650	1682	902
651	1685	899
652	1687	896
653	1689	894
654	1692	891
655	1694	888
656	1697	885
657	1699	883
658	1701	880
659	1704	878
660	1706	875
661	1709	872
662	1711	869
663	1713	867
664	1716	864
665	1719	862
666	1721	859
667	1724	856
668	1727	854
669	1729	851
670	1732	849
671	1734	846
672	1736	843
673	1739	841
674	1741	838
675	1743	835
676	1748	834
677	1752	832
678	1754	829
679	1757	826
680	1759	824
681	1763	822
682	1765	819
683	1767	816
684	1770	814
685	1772	811
686	1775	808
687	1777	806
688	1780	803
689	1783	801
690	1785	798
691	1788	795
692	1790	793
693	1792	790
694	1795	788
695	1798	785
696	1800	782
697	1803	780
698	1805	777
699	1808	774
700	1810	772
701	1813	769
702	1815	766
703	1817	764
704	1820	761
705	1822	758
706	1825	756
707	1827	753
708	1829	750
709	1832	748
710	1835	745
711	1837	743
712	1839	740
713	1842	737
714	1844	735
715	1846	732
716	1849	730
717	1851	727
718	1854	724
719	1856	722
720	1858	719
721	1861	716
722	1863	714
723	1866	711
724	1868	708
725	1870	706
726	1873	703
727	1875	700
728	1877	698
729	1880	695
730	1882	692
731	1885	690
732	1887	687
733	1890	684
734	1892	682
735	1895	679
736	1897	677
737	1899	674
738	1902	671
739	1904	669
740	1907	666
741	1909	664
742	1912	661
743	1914	658
744	1917	656
745	1921	654
746	1924	651
747	1927	649
748	1929	646
749	1932	644
750	1934	641
751	1937	638
752	1939	636
753	1942	633
754	1944	630
755	1946	628
756	1949	625
757	1951	623
758	1954	620
759	1956	617
760	1959	615
761	1961	612
762	1963	610
763	1966	607
764	1969	604
765	1971	602
766	1973	599
767	1976	597
768	1978	594
769	1981	591
770	1984	589
771	1986	586
772	1988	584
773	1991	581
774	1993	578
775	1996	576
776	1999	573
777	2001	571
778	2003	568
779	2005	565
780	2008	563
781	2010	560
782	2013	557
783	2015	555
784	2017	552
785	2020	550
786	2023	547
787	2025	545
788	2028	542
789	2030	539
790	2032	537
791	2035	534
792	2037	531
793	2040	529
794	2042	526
795	2045	524
796	2047	521
797	2050	518
798	2052	516
799	2055	513
800	2057	511
801	2060	508
802	2065	506
803	2067	504
804	2071	501
805	2073	499
806	2076	496
807	2079	494
808	2081	491
809	2084	488
810	2087	486
811	2089	483
812	2091	481
813	2093	478
814	2096	475
815	2098	473
816	2100	470
817	2103	467
818	2105	465
819	2107	462
820	2109	460
821	2112	457
822	2114	454
823	2116	452
824	2118	449
825	2121	446
826	2123	444
827	2125	441
828	2127	438
829	2130	436
830	2132	433
831	2134	431
832	2137	428
833	2139	425
834	2142	423
835	2144	420
836	2146	418
837	2148	415
838	2151	412
839	2153	410
840	2155	407
841	2157	404
842	2160	402
843	2162	399
844	2165	397
845	2167	394
846	2169	391
847	2171	389
848	2174	386
849	2176	384
850	2178	381
851	2181	378
852	2183	376
853	2185	373
854	2187	370
855	2189	368
856	2192	365
857	2194	363
858	2196	360
859	2198	357
860	2200	355
861	2203	352
862	2205	350
863	2207	347
864	2209	344
865	2211	342
866	2214	339
867	2216	337
868	2218	334
869	2220	331
870	2222	329
871	2225	326
872	2227	324
873	2229	321
874	2231	318
875	2234	316
876	2236	313
877	2238	311
878	2241	308
879	2243	305
880	2245	303
881	2248	300
882	2250	298
883	2252	295
884	2254	292
885	2256	290
886	2259	287
887	2261	285
888	2264	282
889	2266	280
890	2268	277
891	2270	274
892	2273	272
893	2275	269
894	2277	267
895	2279	264
896	2282	262
897	2284	259
898	2286	256
899	2289	254
900	2291	251
901	2294	249
902	2296	246
903	2298	244
904	2301	241
905	2303	238
906	2305	236
907	2308	233
908	2310	231
909	2312	228
910	2314	226
911	2317	223
912	2319	221
913	2321	218
914	2324	215
915	2326	213
916	2329	210
917	2332	208
918	2334	205
919	2337	203
920	2339	200
921	2341	198
922	2343	195
923	2346	192
924	2348	190
925	2350	187
926	2353	185
927	2355	182
928	2357	180
929	2360	177
930	2362	175
931	2365	172
932	2367	170
933	2369	167
934	2372	164
935	2374	162
936	2376	159
937	2379	157
938	2381	154
939	2384	152
940	2386	149
941	2388	147
942	2391	144
943	2395	142
944	2398	139
945	2400	137
946	2402	134
947	2405	131
948	2407	129
949	2410	126
950	2412	124
951	2415	121
952	2417	119
953	2419	116
954	2422	114
955	2424	111
956	2427	109
957	2429	106
958	2432	103
959	2434	101
960	2436	98
961	2439	96
962	2441	93
963	2443	91
964	2446	88
965	2448	86
966	2450	83
967	2452	81
968	2455	78
969	2457	76
970	2460	73
971	2462	70
972	2464	68
973	2467	65
974	2469	63
975	2472	60
976	2474	58
977	2476	55
978	2479	53
979	2481	50
980	2483	48
981	2486	45
982	2488	43
983	2490	40
984	2493	37
985	2496	35
986	2498	32
987	2500	30
988	2503	27
989	2505	25
990	2508	22
991	2511	20
992	2513	17
993	2515	15
994	2518	12
995	2520	10
996	2522	7
997	2524	5
998	2527	2
999	2529	0
