iter	Logloss
0	0.686638182
1	0.679903913
2	0.6741150292
3	0.6672938126
4	0.6617097157
5	0.6556688916
6	0.6500751698
7	0.644771005
8	0.6405098521
9	0.6355249655
10	0.630455665
11	0.6258806462
12	0.6213026753
13	0.6168644086
14	0.6125694514
15	0.6072670294
16	0.6021680113
17	0.5977300328
18	0.5936988232
19	0.5890079819
20	0.5856352033
21	0.5804067076
22	0.5766285313
23	0.5721011005
24	0.5680113653
25	0.5645391477
26	0.5603099663
27	0.5565735215
28	0.5538241313
29	0.5501684636
30	0.546441432
31	0.5420356561
32	0.5379925145
33	0.5339744288
34	0.531367179
35	0.527690441
36	0.5243521818
37	0.5208848179
38	0.5171666214
39	0.5139445523
40	0.511387772
41	0.5079931181
42	0.5053862653
43	0.5025587573
44	0.500195677
45	0.4975093025
46	0.4943132505
47	0.4919893922
48	0.4891185006
49	0.486272345
50	0.4838790619
51	0.4822371571
52	0.4799845872
53	0.4774745512
54	0.4746369329
55	0.4719956146
56	0.4701743489
57	0.4687057111
58	0.4664127816
59	0.4638918774
60	0.4620160677
61	0.4603377066
62	0.4588587569
63	0.4564526114
64	0.4542697234
65	0.452339016
66	0.4512030776
67	0.4495182747
68	0.4480517786
69	0.4459073256
70	0.443466228
71	0.4414862619
72	0.4400071492
73	0.4380290448
74	0.4365904278
75	0.4356472499
76	0.4338096977
77	0.432078889
78	0.4302470781
79	0.4285734338
80	0.4273617497
81	0.4260901538
82	0.4250033075
83	0.4229086214
84	0.4214054687
85	0.4193434474
86	0.4178597709
87	0.416634527
88	0.4151313826
89	0.4134217077
90	0.4120822135
91	0.4107396015
92	0.4093720934
93	0.4081490627
94	0.4068601223
95	0.404888298
96	0.4031060862
97	0.402056725
98	0.4008307575
99	0.3995470889
100	0.3989505598
101	0.3975314013
102	0.3957888505
103	0.3949433589
104	0.3937879771
105	0.3926336028
106	0.3914579777
107	0.3896183812
108	0.3886585629
109	0.3876868205
110	0.3863989023
111	0.3852705021
112	0.3842480105
113	0.3834555068
114	0.3829102635
115	0.3823231365
116	0.3815454303
117	0.3805430656
118	0.3796880107
119	0.378649828
120	0.3777853337
121	0.3765416431
122	0.3759591419
123	0.3747827702
124	0.3743655907
125	0.3733833844
126	0.3725429014
127	0.3717833675
128	0.3709695545
129	0.3698235034
130	0.3689306787
131	0.3676716994
132	0.3670899101
133	0.3662169606
134	0.3652036646
135	0.3642546233
136	0.3636019986
137	0.3629426877
138	0.3620751518
139	0.3615831523
140	0.3610173712
141	0.3600712819
142	0.3594428571
143	0.3589361176
144	0.3578367172
145	0.3574742152
146	0.3568563558
147	0.3562218578
148	0.3557490748
149	0.3549660741
150	0.3541890862
151	0.3536704517
152	0.3529586226
153	0.3522421291
154	0.3513631833
155	0.3507430198
156	0.3502988745
157	0.3498999998
158	0.3493974154
159	0.3489589805
160	0.3484468838
161	0.3476620423
162	0.3473934512
163	0.3469060064
164	0.3465639507
165	0.3457816043
166	0.3450594913
167	0.3442615843
168	0.3431864658
169	0.3423615546
170	0.3418811003
171	0.3411652557
172	0.3404106364
173	0.3400488482
174	0.3394933347
175	0.338797097
176	0.3383708218
177	0.337700398
178	0.3371166226
179	0.3363827786
180	0.3356600885
181	0.334975028
182	0.334491454
183	0.3340202316
184	0.3330982442
185	0.3322835474
186	0.3318502441
187	0.3314831539
188	0.3309531032
189	0.3306920989
190	0.3303218207
191	0.3298402738
192	0.3294667221
193	0.3289953231
194	0.3282844023
195	0.3277457202
196	0.3271879739
197	0.3261680941
198	0.3258967696
199	0.3254941448
200	0.3248014912
201	0.324437155
